Number,Species,Temp,Recorded,Diameter.in,Diameter.cm
1,A. roeperi,40,34.76,0.94,2.38
1,A. roeperi,44,38.38,0.94,2.38
1,A. roeperi,48,42.29,0.94,2.38
1,A. roeperi,52,46.7,0.94,2.38
1,A. roeperi,56,50.16,0.94,2.38
1,A. roeperi,60,54.1,0.94,2.38
2,A. roeperi,40,36.42,1.00,2.54
2,A. roeperi,44,40.66,1.00,2.54
2,A. roeperi,48,44.45,1.00,2.54
2,A. roeperi,52,48.76,1.00,2.54
2,A. roeperi,56,52.32,1.00,2.54
2,A. roeperi,60,56.55,1.00,2.54
3,A. roeperi,40,33.94,1.00,2.54
3,A. roeperi,44,38.21,1.00,2.54
3,A. roeperi,48,41.79,1.00,2.54
3,A. roeperi,52,46.25,1.00,2.54
3,A. roeperi,56,50.02,1.00,2.54
3,A. roeperi,60,54.2,1.00,2.54
4,A. roeperi,40,35.3,1.06,2.70
4,A. roeperi,44,40.63,1.06,2.70
4,A. roeperi,48,44.83,1.06,2.70
4,A. roeperi,52,49.2,1.06,2.70
4,A. roeperi,56,52.23,1.06,2.70
4,A. roeperi,60,55.2,1.06,2.70
5,A. roeperi,40,34.42,1.06,2.70
5,A. roeperi,44,39.86,1.06,2.70
5,A. roeperi,48,45.65,1.06,2.70
5,A. roeperi,52,49.04,1.06,2.70
5,A. roeperi,56,51.86,1.06,2.70
5,A. roeperi,60,57.78,1.06,2.70
6,A. roeperi,40,35.74,0.88,2.22
6,A. roeperi,44,39.39,0.88,2.22
6,A. roeperi,48,44.92,0.88,2.22
6,A. roeperi,52,49.32,0.88,2.22
6,A. roeperi,56,53.2,0.88,2.22
6,A. roeperi,60,57.03,0.88,2.22
7,A. roeperi,40,35.3,1.13,2.86
7,A. roeperi,44,38.69,1.13,2.86
7,A. roeperi,48,42.32,1.13,2.86
7,A. roeperi,52,46.31,1.13,2.86
7,A. roeperi,56,50.42,1.13,2.86
7,A. roeperi,60,54.15,1.13,2.86
8,A. roeperi,40,37.18,0.75,1.91
8,A. roeperi,44,40.99,0.75,1.91
8,A. roeperi,48,44.9,0.75,1.91
8,A. roeperi,52,49.22,0.75,1.91
8,A. roeperi,56,48.6,0.75,1.91
8,A. roeperi,60,59.78,0.75,1.91
9,A. roeperi,40,37.62,1.06,2.70
9,A. roeperi,44,41.54,1.06,2.70
9,A. roeperi,48,42.8,1.06,2.70
9,A. roeperi,52,49.01,1.06,2.70
9,A. roeperi,56,52.97,1.06,2.70
9,A. roeperi,60,54.6,1.06,2.70
10,A. roeperi,40,35.31,0.75,1.91
10,A. roeperi,44,38.92,0.75,1.91
10,A. roeperi,48,45.4,0.75,1.91
10,A. roeperi,52,49.55,0.75,1.91
10,A. roeperi,56,52.05,0.75,1.91
10,A. roeperi,60,54.85,0.75,1.91
11,A. roeperi,40,38.11,0.69,1.75
11,A. roeperi,44,41.74,0.69,1.75
11,A. roeperi,48,45.91,0.69,1.75
11,A. roeperi,52,49.92,0.69,1.75
11,A. roeperi,56,53.09,0.69,1.75
11,A. roeperi,60,57.75,0.69,1.75
12,A. roeperi,40,35.11,0.81,2.06
12,A. roeperi,44,40.01,0.81,2.06
12,A. roeperi,48,45.2,0.81,2.06
12,A. roeperi,52,49.36,0.81,2.06
12,A. roeperi,56,52.98,0.81,2.06
12,A. roeperi,60,57.3,0.81,2.06
13,A. roeperi,40,35.06,0.75,1.91
13,A. roeperi,44,41.66,0.75,1.91
13,A. roeperi,48,44.47,0.75,1.91
13,A. roeperi,52,48.41,0.75,1.91
13,A. roeperi,56,51.93,0.75,1.91
13,A. roeperi,60,59.57,0.75,1.91
14,A. roeperi,40,37.05,0.94,2.39
14,A. roeperi,44,38.57,0.94,2.39
14,A. roeperi,48,43.01,0.94,2.39
14,A. roeperi,52,49.78,0.94,2.39
14,A. roeperi,56,51.28,0.94,2.39
14,A. roeperi,60,57.42,0.94,2.39
15,A. roeperi,40,35.18,1.06,2.69
15,A. roeperi,44,41.04,1.06,2.69
15,A. roeperi,48,44.62,1.06,2.69
15,A. roeperi,52,48.09,1.06,2.69
15,A. roeperi,56,53.41,1.06,2.69
15,A. roeperi,60,55.04,1.06,2.69
16,A. roeperi,40,38.07,0.81,2.06
16,A. roeperi,44,39.47,0.81,2.06
16,A. roeperi,48,45.35,0.81,2.06
16,A. roeperi,52,48.45,0.81,2.06
16,A. roeperi,56,53.08,0.81,2.06
16,A. roeperi,60,54.59,0.81,2.06
17,A. roeperi,40,37.28,1.13,2.87
17,A. roeperi,44,39.08,1.13,2.87
17,A. roeperi,48,42.83,1.13,2.87
17,A. roeperi,52,47.13,1.13,2.87
17,A. roeperi,56,53.09,1.13,2.87
17,A. roeperi,60,55.04,1.13,2.87
18,A. roeperi,40,36.29,0.69,1.75
18,A. roeperi,44,38.72,0.69,1.75
18,A. roeperi,48,45.44,0.69,1.75
18,A. roeperi,52,47.7,0.69,1.75
18,A. roeperi,56,52.57,0.69,1.75
18,A. roeperi,60,57.85,0.69,1.75
19,A. roeperi,40,38.07,0.88,2.24
19,A. roeperi,44,38.42,0.88,2.24
19,A. roeperi,48,43.64,0.88,2.24
19,A. roeperi,52,48.42,0.88,2.24
19,A. roeperi,56,50.2,0.88,2.24
19,A. roeperi,60,55.07,0.88,2.24
20,A. roeperi,40,37.88,0.69,1.75
20,A. roeperi,44,39.2,0.69,1.75
20,A. roeperi,48,42.98,0.69,1.75
20,A. roeperi,52,48.13,0.69,1.75
20,A. roeperi,56,52.17,0.69,1.75
20,A. roeperi,60,55.36,0.69,1.75
21,A. roeperi,40,37.96,1.06,2.69
21,A. roeperi,44,40.84,1.06,2.69
21,A. roeperi,48,43.85,1.06,2.69
21,A. roeperi,52,47.89,1.06,2.69
21,A. roeperi,56,52.39,1.06,2.69
21,A. roeperi,60,54.36,1.06,2.69
22,A. roeperi,40,36.63,0.94,2.39
22,A. roeperi,44,39.59,0.94,2.39
22,A. roeperi,48,45.35,0.94,2.39
22,A. roeperi,52,48.62,0.94,2.39
22,A. roeperi,56,51.8,0.94,2.39
22,A. roeperi,60,54.14,0.94,2.39
23,A. roeperi,40,35.5,0.81,2.06
23,A. roeperi,44,38.89,0.81,2.06
23,A. roeperi,48,44.26,0.81,2.06
23,A. roeperi,52,48.84,0.81,2.06
23,A. roeperi,56,52.23,0.81,2.06
23,A. roeperi,60,56.83,0.81,2.06
24,A. roeperi,40,35.96,0.75,1.91
24,A. roeperi,44,41.2,0.75,1.91
24,A. roeperi,48,44.88,0.75,1.91
24,A. roeperi,52,46.34,0.75,1.91
24,A. roeperi,56,53.19,0.75,1.91
24,A. roeperi,60,59.06,0.75,1.91
25,A. roeperi,40,34.4,1.13,2.87
25,A. roeperi,44,38.85,1.13,2.87
25,A. roeperi,48,45.78,1.13,2.87
25,A. roeperi,52,47.98,1.13,2.87
25,A. roeperi,56,53.06,1.13,2.87
25,A. roeperi,60,58.36,1.13,2.87
26,A. roeperi,40,33.95,0.88,2.24
26,A. roeperi,44,38.8,0.88,2.24
26,A. roeperi,48,44.17,0.88,2.24
26,A. roeperi,52,48.92,0.88,2.24
26,A. roeperi,56,52.29,0.88,2.24
26,A. roeperi,60,57.88,0.88,2.24
27,A. roeperi,40,34.41,0.75,1.91
27,A. roeperi,44,38.72,0.75,1.91
27,A. roeperi,48,43.21,0.75,1.91
27,A. roeperi,52,48.21,0.75,1.91
27,A. roeperi,56,52.73,0.75,1.91
27,A. roeperi,60,57.19,0.75,1.91
28,A. roeperi,40,35.95,0.94,2.39
28,A. roeperi,44,38.57,0.94,2.39
28,A. roeperi,48,44.44,0.94,2.39
28,A. roeperi,52,48.34,0.94,2.39
28,A. roeperi,56,52.03,0.94,2.39
28,A. roeperi,60,58.53,0.94,2.39
29,A. roeperi,40,37.66,0.94,2.39
29,A. roeperi,44,39.48,0.94,2.39
29,A. roeperi,48,45.88,0.94,2.39
29,A. roeperi,52,49.41,0.94,2.39
29,A. roeperi,56,52.33,0.94,2.39
29,A. roeperi,60,58.72,0.94,2.39
30,A. roeperi,40,37.22,0.88,2.24
30,A. roeperi,44,39.78,0.88,2.24
30,A. roeperi,48,43.99,0.88,2.24
30,A. roeperi,52,46.46,0.88,2.24
30,A. roeperi,56,52.7,0.88,2.24
30,A. roeperi,60,56.94,0.88,2.24
1,Control,40,36.18,1.13,2.86
1,Control,44,40.39,1.13,2.86
1,Control,48,45.14,1.13,2.86
1,Control,52,48.72,1.13,2.86
1,Control,56,52.7,1.13,2.86
1,Control,60,56.31,1.13,2.86
2,Control,40,37.19,1.13,2.86
2,Control,44,40.91,1.13,2.86
2,Control,48,45.12,1.13,2.86
2,Control,52,48.45,1.13,2.86
2,Control,56,52.86,1.13,2.86
2,Control,60,56.69,1.13,2.86
3,Control,40,35.24,1.13,2.87
3,Control,44,41.02,1.13,2.87
3,Control,48,44.54,1.13,2.87
3,Control,52,48.87,1.13,2.87
3,Control,56,52.39,1.13,2.87
3,Control,60,56.23,1.13,2.87
4,Control,40,37.29,1.00,2.54
4,Control,44,41.09,1.00,2.54
4,Control,48,44.47,1.00,2.54
4,Control,52,49.01,1.00,2.54
4,Control,56,53.48,1.00,2.54
4,Control,60,55.78,1.00,2.54
5,Control,40,36.58,1.06,2.70
5,Control,44,40.96,1.06,2.70
5,Control,48,44.66,1.06,2.70
5,Control,52,48.91,1.06,2.70
5,Control,56,53.13,1.06,2.70
5,Control,60,56.67,1.06,2.70
6,Control,40,36.69,0.75,1.91
6,Control,44,40.95,0.75,1.91
6,Control,48,45.55,0.75,1.91
6,Control,52,49.02,0.75,1.91
6,Control,56,52.58,0.75,1.91
6,Control,60,56.07,0.75,1.91
7,Control,40,36.12,0.81,2.06
7,Control,44,40.59,0.81,2.06
7,Control,48,44.1,0.81,2.06
7,Control,52,48.78,0.81,2.06
7,Control,56,52.4,0.81,2.06
7,Control,60,56.42,0.81,2.06
8,Control,40,36.59,0.94,2.39
8,Control,44,40.46,0.94,2.39
8,Control,48,45.24,0.94,2.39
8,Control,52,48.98,0.94,2.39
8,Control,56,52.97,0.94,2.39
8,Control,60,56.22,0.94,2.39
9,Control,40,36.89,0.75,1.91
9,Control,44,40.15,0.75,1.91
9,Control,48,45.46,0.75,1.91
9,Control,52,49.03,0.75,1.91
9,Control,56,52.61,0.75,1.91
9,Control,60,56.46,0.75,1.91
10,Control,40,36.72,1.13,2.87
10,Control,44,40.65,1.13,2.87
10,Control,48,44.68,1.13,2.87
10,Control,52,48.7,1.13,2.87
10,Control,56,52.6,1.13,2.87
10,Control,60,56.56,1.13,2.87
11,Control,40,36.61,0.81,2.06
11,Control,44,40.99,0.81,2.06
11,Control,48,45.64,0.81,2.06
11,Control,52,48.49,0.81,2.06
11,Control,56,53.48,0.81,2.06
11,Control,60,56.25,0.81,2.06
12,Control,40,35.87,1.00,2.54
12,Control,44,40.68,1.00,2.54
12,Control,48,44.41,1.00,2.54
12,Control,52,49,1.00,2.54
12,Control,56,52.47,1.00,2.54
12,Control,60,56.37,1.00,2.54
13,Control,40,36.89,0.69,1.75
13,Control,44,40.34,0.69,1.75
13,Control,48,45.65,0.69,1.75
13,Control,52,48.54,0.69,1.75
13,Control,56,53.42,0.69,1.75
13,Control,60,55.75,0.69,1.75
14,Control,40,36.56,0.88,2.24
14,Control,44,40.22,0.88,2.24
14,Control,48,44.7,0.88,2.24
14,Control,52,48.66,0.88,2.24
14,Control,56,53.21,0.88,2.24
14,Control,60,56.16,0.88,2.24
15,Control,40,36.94,1.06,2.69
15,Control,44,40.79,1.06,2.69
15,Control,48,45.26,1.06,2.69
15,Control,52,49.04,1.06,2.69
15,Control,56,53.19,1.06,2.69
15,Control,60,56.86,1.06,2.69
16,Control,40,35.41,0.94,2.39
16,Control,44,40.92,0.94,2.39
16,Control,48,43.93,0.94,2.39
16,Control,52,49.02,0.94,2.39
16,Control,56,52.42,0.94,2.39
16,Control,60,56.39,0.94,2.39
17,Control,40,37.06,1.00,2.54
17,Control,44,40.53,1.00,2.54
17,Control,48,44.72,1.00,2.54
17,Control,52,48.36,1.00,2.54
17,Control,56,52.71,1.00,2.54
17,Control,60,56.75,1.00,2.54
18,Control,40,36.59,0.69,1.75
18,Control,44,40.94,0.69,1.75
18,Control,48,44.33,0.69,1.75
18,Control,52,48.5,0.69,1.75
18,Control,56,53.26,0.69,1.75
18,Control,60,55.89,0.69,1.75
19,Control,40,37.59,1.13,2.87
19,Control,44,41.13,1.13,2.87
19,Control,48,45.57,1.13,2.87
19,Control,52,48.96,1.13,2.87
19,Control,56,52.85,1.13,2.87
19,Control,60,56.68,1.13,2.87
20,Control,40,36.61,1.06,2.69
20,Control,44,40.46,1.06,2.69
20,Control,48,45.63,1.06,2.69
20,Control,52,48.83,1.06,2.69
20,Control,56,52.87,1.06,2.69
20,Control,60,55.82,1.06,2.69
21,Control,40,36.17,0.75,1.91
21,Control,44,40.4,0.75,1.91
21,Control,48,44.24,0.75,1.91
21,Control,52,48.8,0.75,1.91
21,Control,56,53.3,0.75,1.91
21,Control,60,56.57,0.75,1.91
22,Control,40,36.73,0.81,2.06
22,Control,44,40.68,0.81,2.06
22,Control,48,45.49,0.81,2.06
22,Control,52,48.59,0.81,2.06
22,Control,56,52.99,0.81,2.06
22,Control,60,56.24,0.81,2.06
23,Control,40,37.15,0.88,2.24
23,Control,44,40.9,0.88,2.24
23,Control,48,44.69,0.88,2.24
23,Control,52,48.65,0.88,2.24
23,Control,56,52.93,0.88,2.24
23,Control,60,55.72,0.88,2.24
24,Control,40,36.14,0.88,2.24
24,Control,44,40.58,0.88,2.24
24,Control,48,44.65,0.88,2.24
24,Control,52,49.03,0.88,2.24
24,Control,56,52.98,0.88,2.24
24,Control,60,56.45,0.88,2.24
25,Control,40,36.28,1.13,2.87
25,Control,44,40.26,1.13,2.87
25,Control,48,44.92,1.13,2.87
25,Control,52,48.9,1.13,2.87
25,Control,56,53.18,1.13,2.87
25,Control,60,55.77,1.13,2.87
26,Control,40,37.28,0.81,2.06
26,Control,44,40.82,0.81,2.06
26,Control,48,44.6,0.81,2.06
26,Control,52,48.34,0.81,2.06
26,Control,56,53.56,0.81,2.06
26,Control,60,56.4,0.81,2.06
27,Control,40,36.53,0.69,1.75
27,Control,44,40.58,0.69,1.75
27,Control,48,44.12,0.69,1.75
27,Control,52,48.75,0.69,1.75
27,Control,56,53.58,0.69,1.75
27,Control,60,55.73,0.69,1.75
28,Control,40,36.99,0.94,2.39
28,Control,44,40.31,0.94,2.39
28,Control,48,45.34,0.94,2.39
28,Control,52,48.39,0.94,2.39
28,Control,56,52.64,0.94,2.39
28,Control,60,56,0.94,2.39
29,Control,40,37.26,1.06,2.69
29,Control,44,41.02,1.06,2.69
29,Control,48,44.99,1.06,2.69
29,Control,52,48.81,1.06,2.69
29,Control,56,52.54,1.06,2.69
29,Control,60,56.33,1.06,2.69
30,Control,40,37.01,1.00,2.54
30,Control,44,41.13,1.00,2.54
30,Control,48,45.4,1.00,2.54
30,Control,52,48.83,1.00,2.54
30,Control,56,53.25,1.00,2.54
30,Control,60,56.63,1.00,2.54
1,A. grosmanniae,40,33.81,1.06,2.70
1,A. grosmanniae,44,37.41,1.06,2.70
1,A. grosmanniae,48,42.19,1.06,2.70
1,A. grosmanniae,52,45.79,1.06,2.70
1,A. grosmanniae,56,49.21,1.06,2.70
1,A. grosmanniae,60,54.16,1.06,2.70
2,A. grosmanniae,40,35.01,1.00,2.54
2,A. grosmanniae,44,38.59,1.00,2.54
2,A. grosmanniae,48,42.43,1.00,2.54
2,A. grosmanniae,52,46.88,1.00,2.54
2,A. grosmanniae,56,50.33,1.00,2.54
2,A. grosmanniae,60,54.24,1.00,2.54
3,A. grosmanniae,40,35.32,0.81,2.06
3,A. grosmanniae,44,39.38,0.81,2.06
3,A. grosmanniae,48,43.19,0.81,2.06
3,A. grosmanniae,52,47.56,0.81,2.06
3,A. grosmanniae,56,51.05,0.81,2.06
3,A. grosmanniae,60,55.21,0.81,2.06
4,A. grosmanniae,40,37.04,0.75,1.91
4,A. grosmanniae,44,41.46,0.75,1.91
4,A. grosmanniae,48,45.2,0.75,1.91
4,A. grosmanniae,52,49.62,0.75,1.91
4,A. grosmanniae,56,53.32,0.75,1.91
4,A. grosmanniae,60,57.56,0.75,1.91
5,A. grosmanniae,40,37.1,0.81,2.06
5,A. grosmanniae,44,40.92,0.81,2.06
5,A. grosmanniae,48,45.46,0.81,2.06
5,A. grosmanniae,52,49.04,0.81,2.06
5,A. grosmanniae,56,53,0.81,2.06
5,A. grosmanniae,60,57.49,0.81,2.06
6,A. grosmanniae,40,37.52,0.75,1.91
